"Mollie Dashboard [&rarr;]","Mollie Dashboard [→]"
"{Reserved}","{Reserviert}"
"Select a bank:","Wählen Sie eine Bank:"
"Your order is awaiting payment before being released for processing and shipment.","Sobald Ihre Bezahlung bei uns eingegangen ist, wird Ihre Bestellung weiter verarbeitet."
"You are currently using version %s. We strongly recommend you to upgrade to the new version %s!","Sie verwenden momentan Version %s. Wir empfehlen Ihnen ausdrücklich, auf die neuere Version %s zu aktualisieren!"
"Note: version information is accurate only when the cache is cleared.","Achtung: Die Information über die Version ist nur akkurat, wenn der Cache geleert ist."
"iDEAL","iDEAL"
"Mister Cash","Mister Cash"
"Creditcard","Kreditkarte"
"Bank transfer","Überweisung"
"PayPal","PayPal"
"paysafecard","Paysafecard"
"Bitcoin","Bitcoin"
"KBC/CBC Payment Button","KBC/CBC-Bezahl-Knopf"
"Please select","Bitte auswählen"
"Please Wait.<br>If you are not redirected shortly, click here.","Bitte warten Sie.<br>Wenn Sie nicht in Kürze weitergeleitet werden, dann klicken Sie hier."
"Redirecting to Mollie","Auf Mollie umleiten"
"Bank Transfer Due Days","Banküberweisung Fälligkeitstage"
"Your order has been received.","Ihre Bestellung wurde erhalten."
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"Your order # is: %s.","Ihre Bestell-# lautet:%s."
"You will receive an order confirmation email with details of your order.","Sie werden eine Bestätigungsmail mit den Details Ihrer Bestellung erhalten."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klicken Sie <a href='%s' onclick=""this.target=\'_blank\'"">hier</a>, um eine Kopie Ihrer Bestellbestätigung auszudrucken."
"Your billing agreement # is: %s.","Ihr Abrechnungsvertrag-# lautet: %s."
"Your recurring payment profiles:","Ihre wiederkehrenden Zahlungsprofile:"
"Payment profile # %s: %s""","Zahlungsprofil # %s: %s"""
"Continue Shopping","Weiter shoppen"
"Test API key","API Key testen"
"Run Self Test","Führen Sie den Selbsttest durch"
"API Key: Success!","API Key: Erfolgreich!"
"Error: The client requires PHP version >= ","Fehler: Mollie unterstützt einzig PHP Version >= "
"Success: PHP version: ","Erfolgreich: PHP Version:"
"Error: The client requires PHP version >= %s, you have %s.","Fehler: Mollie unterstützt einzig PHP Version >= %s, du hast %s."
"Success: PHP version: %s.","Erfolgreich: PHP Version: %s."
"API Key: %s","API Key: %s"
"Test Key: Empty value","Testschlüssel: leerer Wert"
"API Key: Should start with ""test_"" or ""live_""","API Key: Sollte mit beginnen ""test_"" oder ""live_"""
"Please make sure to enable \'json\' in your PHP configuration.","Kontrollieren Sie, ob \'json\' in der PHP Konfiguration aktiviert ist"
"Error: PHP extension JSON is not enabled. ","Fehler: PHP Erweiterung JSON ist nicht aktiviert. "
"Success: JSON is enabled.","Erfolgreich: JSON ist aktiviert."
"Error: PHP extension cURL is not enabled. ","Fehler: PHP Erweiterung cURL ist nicht aktiviert. "
"Please make sure to enable \'curl\' in your PHP configuration.","Kontrollieren Sie, ob \'curl\' in der PHP Konfiguration aktiviert ist"
"Success: cURL is enabled.","Erfolgreich: cURL ist aktiviert."
"Error: This client requires the following cURL functions to %s","Fehler: Mollie unterstützt die folgende cURL Funktion um %s"
"Please check that none of these functions are disabled in your PHP configuration.","Kontrollieren Sie, ob keine dieser Funktionen in der PHP Konfiguration aktiviert ist."
"Success: cURL functions are enabled","Erfolgreich: cURL Funktionen sind aktiviert"
"be available: ","sind verfügbar: "
"Show iDeal Bank List","Zeige iDEAL Bank Wahl Liste"
"Show Giftcard List","Zeige Giftcard Wahl Liste"
"Bank Transfer Due Days","Banküberweisung Fälligkeitstage"
"Loading Screen","Ladebildschirm"
"Use loading screen before redirect. This will enable mobile users to use the back button.","Verwenden Sie den Ladebildschirm für das Umleiten auf Mollie. Damit können mobile Nutzer mithilfe des Zurück-Buttons zurück gehen"
"Emails & Invoicing","E-Mails & Rechnungen"
"Status Pending","Status Ausstehend"
"Status Processing","Status in Bearbeitung"
"Enable Logging","Log Aktivieren"
"Self Test","Selbsttest"
"Payment cancelled, please try again.","Zahlung annulliert, versuchen Sie es erneut."
"Multi Currency","Mehrwährungsfähigkeit"
"Extension Version","Erweiterungs-Version"
"Always use base Currency","Immer Basiswährung benutzen"
"Force use of base currency for the payment request. Is set to no the selected currency of the storeview will be used for request.","Benutzen der Basiswährung für die Zahlungsanfrage erzwingen. Falls Nein eingestellt ist, wird die ausgewählte Währung des Storeviews für die Anfrage benutzt."
"Debugging","Debugging"
"API Details","API-Details"
"Api Test","API-Test"
